x,y,p0,p1,p2
-2.127556,-0.99545974,1,0.0000000000000030379855,0.0000000000033729107
-2.127556,-0.9454597,1,0.000000000000005459708,0.000000000010917959
-2.127556,-0.8954597,1,0.000000000000009811901,0.000000000035341008
-2.127556,-0.8454597,1,0.000000000000017632156,0.00000000011437892
-2.127556,-0.7954597,1,0.00000000000003167683,0.00000000036994577
-2.127556,-0.7454597,1,0.00000000000005690883,0.0000000011965456
-2.127556,-0.69545966,1,0.00000000000010223885,0.0000000038700922
-2.127556,-0.64545965,1,0.00000000000018367592,0.00000001251733
-2.127556,-0.59545964,1,0.00000000000032998195,0.000000040485897
-2.127556,-0.5454596,0.9999999,0.00000000000059282717,0.00000013094719
-2.127556,-0.49545962,0.9999995,0.0000000000010650358,0.00000042353298
-2.127556,-0.4454596,0.9999987,0.000000000001913375,0.0000013698647
-2.127556,-0.3954596,0.9999956,0.000000000003437446,0.0000044306594
-2.127556,-0.34545958,0.99998534,0.000000000006296817,0.000014704726
-2.127556,-0.29545957,0.99994767,0.000000000012148463,0.000052273994
-2.127556,-0.24545957,0.9998142,0.000000000023435719,0.00018581108
-2.127556,-0.19545957,0.99933976,0.000000000045194747,0.000660253
-2.127556,-0.14545958,0.99756396,0.000000000090913006,0.0024360593
-2.127556,-0.09545958,0.9909424,0.000000000184567,0.009057583
-2.127556,-0.04545958,0.9669194,0.00000000036806017,0.033080533
-2.127556,0.004540421,0.88648075,0.0000000006896346,0.113519266
-2.127556,0.05454042,0.67599005,0.0000000010747594,0.32400998
-2.127556,0.10454042,0.35790297,0.0000000011629394,0.642097
-2.127556,0.15454042,0.12961572,0.00000000086073904,0.8703843
-2.127556,0.20454042,0.038263477,0.0000000005193026,0.9617365
-2.127556,0.2545404,0.010517667,0.00000000029172692,0.9894824
-2.127556,0.30454043,0.0028317932,0.00000000016052433,0.99716824
-2.127556,0.35454044,0.0007581341,0.0000000000878305,0.9992418
-2.127556,0.40454045,0.00020266073,0.00000000004798346,0.9997974
-2.127556,0.45454046,0.000054152035,0.000000000026203496,0.9999459
-2.127556,0.50454044,0.000014468224,0.00000000001430805,0.9999856
-2.127556,0.55454046,0.000003865473,0.000000000007812483,0.9999962
-2.127556,0.60454047,0.0000010327275,0.0000000000042657223,0.9999989
-2.127556,0.6545405,0.00000027590988,0.0000000000023291473,0.99999976
-2.127556,0.7045405,0.00000007371401,0.0000000000012717479,0.9999999
-2.127556,0.7545405,0.000000019693914,0.00000000000069439517,1
